# CUDA_PROFILE_LOG_VERSION 1.3
# CUDA_PROFILE_CSV 1
# CUDA_DEVICE_NAME 0 GeForce 9600 GT
method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,branch,divergent_branch,instructions,warp_serialize,cta_launched
memcpyDtoD_aligned,1.696,10.604,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,4,0,0,0,1
memcpyDtoD_aligned,1.728,10.848,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.696,10.773,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,46,0,1
memcpyDtoD_aligned,1.728,10.642,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.696,10.582,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,4,0,0,0,0
memcpyDtoD_aligned,1.888,11.02,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.728,10.855,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,4,0,0,0,0
memcpyDtoD_aligned,1.856,10.934,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,46,0,1
memcpyDtoD_aligned,1.664,10.773,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.96,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,4,0,0,0,1
memcpyDtoD_aligned,1.92,11.611,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,11.398,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,46,0,1
memcpyDtoD_aligned,1.728,10.893,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.824,10.874,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,4,0,0,0,1
memcpyDtoD_aligned,1.696,11.401,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.696,10.919,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,46,0,1
memcpyDtoD_aligned,1.728,10.78,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.728,10.814,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,4,0,0,0,0
memcpyDtoD_aligned,1.76,10.833,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,46,0,1
memcpyDtoD_aligned,1.728,10.799,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.728,10.597,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.888,10.724,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.696,10.709,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,46,0,1
memcpyDtoD_aligned,1.696,10.904,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.696,10.807,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,4,0,0,0,1
memcpyDtoD_aligned,1.76,10.915,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.856,10.821,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,46,0,1
memcpyDtoD_aligned,1.76,10.822,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.696,10.695,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,4,0,0,0,0
memcpyDtoD_aligned,1.888,10.874,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,0,0,1
memcpyDtoD_aligned,1.728,10.912,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,4,0,0,0,0
memcpyDtoD_aligned,1.696,10.773,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,0,0,46,0,1
memcpyDtoD_aligned,1.696,10.829,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
memcpyDtoD_aligned,1.76,10.691,1,1,2,128,1,1,0,28,3,0,8,0,32,0,0,4,0,0,0,1
memcpyDtoD_aligned,1.76,10.668,1,1,2,128,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,0
